condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.0,88,598824061,0.38330726716949465,0.9967142118131612,0.43896382633604814
WT,20.0,1.0,120.0,0.0,89,623301253,0.26502352794517,0.5971191547485818,0.5110231421768033
WT,20.0,1.0,120.0,0.0,90,2042901480,0.2116785033990972,0.6283517580342685,0.55360521681403
WT,20.0,1.0,120.0,0.0,91,2089944286,0.4722040578670631,0.9527393296740637,0.3842498485247275
WT,20.0,1.0,120.0,0.0,92,1201751906,0.3746315340264981,0.8518223032867535,0.43929256538626904
WT,20.0,1.0,120.0,0.0,93,1707274007,0.4856333967100018,0.8111152679655997,0.5271147634494733
WT,20.0,1.0,120.0,0.0,94,2031444617,0.32348109012755405,0.9530652127998768,0.44709077318240953
WT,20.0,1.0,120.0,0.0,95,1021644827,0.4036420569159682,0.877472327028119,0.5141424052701338
WT,20.0,1.0,120.0,0.0,96,1106617184,0.2785840887363572,0.8179316825625426,0.4031845524279028
WT,20.0,1.0,120.0,0.0,97,1572947672,0.5343662961061821,0.7562382534527313,0.4009085850233279
WT,20.0,1.0,120.0,0.0,98,1398504477,0.33565083528537915,0.574328335452067,0.4256898235922812
WT,20.0,1.0,120.0,0.0,99,679618480,0.4441148010624628,0.7435395844902708,0.5127469593217239
WT,20.0,1.0,120.0,0.125,0,1168784116,0.36469673761155674,0.8081779930463718,0.3693820204819096
WT,20.0,1.0,120.0,0.125,1,921289450,0.3699086323254707,0.7116469013189589,0.457033441960513
WT,20.0,1.0,120.0,0.125,2,1293255992,0.3975261936694327,0.7846640507960413,0.46270238602651703
WT,20.0,1.0,120.0,0.125,3,1702858716,0.5228160205916332,1.0560344935042878,0.47845840590917366
WT,20.0,1.0,120.0,0.125,4,1895310323,0.21609041925251035,0.7008855752479436,0.4846819264570359
WT,20.0,1.0,120.0,0.125,5,211694680,0.4465886276717195,0.8254111881770789,0.45104501255548995
