condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,15.0,8.0,40,1806363173,0.59054396641807,0.09072170832424366
WT,15.0,8.0,41,1312343691,0.5837876561121498,0.09072170832424366
WT,15.0,8.0,42,1762120781,0.6091670909683798,0.09072170832424366
WT,15.0,8.0,43,1700607009,0.5974222374641234,0.09072170832424366
WT,15.0,8.0,44,1634649145,0.6021509578893665,0.09072170832424366
WT,15.0,8.0,45,1036024353,0.6165183699377657,0.09072170832424366
WT,15.0,8.0,46,261494503,0.5955698559081806,0.09072170832424366
WT,15.0,8.0,47,2001682155,0.5647648066796355,0.09072170832424366
WT,15.0,8.0,48,1311960750,0.5918009406109787,0.09072170832424366
WT,15.0,8.0,49,295114914,0.6131073263708466,0.09072170832424366
WT,20.0,8.0,0,1168784116,0.6086232770633285,0.158975417624645
WT,20.0,8.0,1,921289450,0.6064098126636105,0.158975417624645
WT,20.0,8.0,2,1293255992,0.5941444997026397,0.158975417624645
WT,20.0,8.0,3,1702858716,0.5968197069662642,0.158975417624645
WT,20.0,8.0,4,1895310323,0.5957142239091426,0.158975417624645
WT,20.0,8.0,5,211694680,0.6077634593871903,0.158975417624645
WT,20.0,8.0,6,280584697,0.5935083926572552,0.158975417624645
WT,20.0,8.0,7,617447500,0.5864811130647397,0.158975417624645
WT,20.0,8.0,8,1249765968,0.5821054741040593,0.158975417624645
WT,20.0,8.0,9,1504658074,0.6079145842406031,0.158975417624645
WT,20.0,8.0,10,1008898872,0.5976634228621794,0.158975417624645
WT,20.0,8.0,11,794319243,0.6002665026736437,0.158975417624645
WT,20.0,8.0,12,204008863,0.5982367384063467,0.158975417624645
WT,20.0,8.0,13,1880439445,0.5958449942399591,0.158975417624645
WT,20.0,8.0,14,1306372712,0.5915059895743676,0.158975417624645
WT,20.0,8.0,15,2122084012,0.5944192280654105,0.158975417624645
WT,20.0,8.0,16,1976297044,0.5803734313637225,0.158975417624645
WT,20.0,8.0,17,784548992,0.6108130932883018,0.158975417624645
WT,20.0,8.0,18,2121403537,0.5995923979268355,0.158975417624645
WT,20.0,8.0,19,347016859,0.6235701172878452,0.158975417624645
WT,20.0,8.0,20,527842052,0.596850713666841,0.158975417624645
