condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,25.0,0.75,120.0,19,347016859,6.82981530912849,2.229169993140168,5.345748075359627,0.14966471315996185,0.29897303346556775
WT,25.0,0.75,120.0,20,527842052,7.050888188466741,2.2608945664209013,4.641613185973538,0.18214329505837507,0.5149443774871642
WT,25.0,0.75,120.0,21,215409799,6.925194857223628,2.69981414408729,4.973039104074516,0.11740899698036805,0.37926025747446224
WT,25.0,0.75,120.0,22,350632298,6.751192479463404,2.196780131761372,4.626295671699642,0.07968044080318085,0.4681409144001279
WT,25.0,0.75,120.0,23,2071774379,6.777002133492424,2.0841362161758514,4.956783429443553,0.3946139421490994,0.26159954614770164
WT,25.0,0.75,120.0,24,1492822048,6.96139401624617,2.4640204594458686,5.455294443249085,0.13347628964770702,0.3287481617267666
WT,25.0,0.75,120.0,25,199233221,6.878435967739778,2.1847894570685527,4.835328622254646,0.14404024814146937,0.3354155474349299
WT,25.0,0.75,120.0,26,1395966768,6.74158557019999,2.4521558988751813,5.137285095731384,0.04352855282640147,0.4637207978659684
WT,25.0,0.75,120.0,27,786556690,6.891154318833921,1.8648586022926767,5.333626579882785,0.1739453567227395,0.4213451000670931
WT,25.0,0.75,120.0,28,649984770,6.932204955952651,1.7974079280526212,4.510402072823286,0.1957765138390035,0.3134901134114042
WT,25.0,0.75,120.0,29,337723248,6.852510879278854,2.0070197658455076,4.82735931920722,0.1335227208125513,0.32041521436377624
WT,25.0,0.75,120.0,30,1094264184,6.956967142206997,1.9968740194058328,4.752895839725694,0.16859698922434868,0.4012250876035256
WT,25.0,0.75,120.0,31,2089154132,6.798096841876322,2.607880559859869,6.598259300458188,0.20726914495222695,0.551276555476685
WT,25.0,0.75,120.0,32,1584690825,6.810087067039054,2.3510063806162065,5.741434702823446,0.1408722805230521,0.28107458107814565
WT,25.0,0.75,120.0,33,795962858,6.7606293025946425,2.102470731834013,3.655445612119852,0.10520237555120664,0.5525921030999539
WT,25.0,0.75,120.0,34,827737825,6.794461229579103,2.7059004401814413,6.640806344429498,0.36768963089114653,0.4334153459804676
WT,25.0,0.75,120.0,35,234713593,6.694116607909451,2.112745661350709,5.12235122728876,0.11300326761031085,0.4970487409470826
WT,25.0,0.75,120.0,36,885327366,6.887489970505631,1.604320170248339,5.312086712681998,0.25231236767548576,0.40980217466282604
WT,25.0,0.75,120.0,37,928832081,6.910526829958996,2.0194905222347788,5.897448806825859,0.08750007698582474,0.39165366432356274
WT,25.0,0.75,120.0,38,1947615286,6.769662368685192,1.7256635428230203,5.667093365731664,0.14494141146650755,0.41408236575043983
WT,25.0,0.75,120.0,39,20360091,6.975494758016577,2.6146245174872598,3.5491736958098112,0.060692758458815665,0.33007691219975654
WT,25.0,0.75,120.0,40,1806363173,6.869312716564866,2.1338405026531673,5.106044869319404,0.22581872013716503,0.3735877398814418
WT,25.0,0.75,120.0,41,1312343691,6.62661207760511,2.4817347413894804,6.432470763862672,0.13893273228922057,0.4512166634737463
WT,25.0,0.75,120.0,42,1762120781,6.783190331524091,2.3977509196870463,6.462990578233981,0.3025428369670331,0.5813480405858407
WT,25.0,0.75,120.0,43,1700607009,6.937185387171455,2.3556201493313766,4.442784029310547,0.19362967944963155,0.48784891575444855
WT,25.0,0.75,120.0,44,1634649145,6.934834785763909,1.9506199363427688,4.669227446999131,0.15545159576386233,0.3753784143856309
WT,25.0,0.75,120.0,45,1036024353,6.982699223774829,1.7846801626779774,5.402709995238442,0.2391903081074414,0.2897826273682459
WT,25.0,0.75,120.0,46,261494503,6.829360598846563,1.660430200784442,5.301941108200949,0.14545905793810807,0.43233474470543626
WT,25.0,0.75,120.0,47,2001682155,6.811666790054787,2.095416059060269,4.405810807563977,0.40654010113633343,0.4672742899976913
WT,25.0,0.75,120.0,48,1311960750,6.862605799801465,1.7576612604122732,5.692714366856747,0.09994834995962948,0.45577805218641165
