condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,30.0,13,1634535062,-0.06570362158053378,0.2711128415304091,0.27399558493491755
WT,30.0,14,1540770719,-0.1514610231381064,0.254739431051053,0.2317629036748219
WT,30.0,15,1688060240,0.0041162175493796305,0.29178397526954364,0.2551208699436194
WT,30.0,16,1102145672,-0.12936150918543543,0.27990087888155285,0.24441503659780567
WT,30.0,17,275121930,-0.017131087307571402,0.2882133059344484,0.20957060209458905
WT,30.0,18,1803345590,-0.08072023157457187,0.28657206391041734,0.269214278066194
WT,30.0,19,967196436,-0.0523003252516534,0.26969135292789354,0.20921436011137118
WT,30.0,20,1074497555,-0.177694106863874,0.28305618594401616,0.263421713817197
WT,30.0,21,796282693,-0.03457428384133898,0.2942934465771388,0.26707913565508146
WT,30.0,22,392022359,-0.10901647482504684,0.2503966268938257,0.22787272753962856
WT,30.0,23,1990212658,-0.059262805834013665,0.26365332229444255,0.3029918801264598
WT,30.0,24,1678403330,-0.07202303669492771,0.2819994289334609,0.2877081339974195
WT,30.0,25,1382689815,0.032055554771278416,0.2996309795889796,0.34259537945479857
WT,30.0,26,864178266,-0.04054735505844764,0.24271523988017768,0.22374770735891136
WT,30.0,27,1766867109,0.08723920046693046,0.3021363199781875,0.296312086005611
WT,30.0,28,1171300112,-0.09695179466121306,0.25366484615973994,0.2654497700802404
WT,30.0,29,952224740,-0.15118574252192118,0.2846868197878826,0.27126751204453087
WT,30.0,30,967354524,-0.07688858460904457,0.27148150216128225,0.22828544296535652
WT,30.0,31,487991438,-0.025678996851715485,0.30528249424064274,0.27830087540623744
WT,30.0,32,197860368,0.06237450102960995,0.30456008165201287,0.27003973629032935
WT,30.0,33,1190961760,0.07599399946509156,0.26112351866774297,0.2236108756345628
WT,30.0,34,1906728918,0.1760669949744269,0.2594654829178585,0.25068982837664194
WT,30.0,35,137046513,-0.0175495277981077,0.2848762036912776,0.28505153347351064
WT,30.0,36,1843166518,-0.08236606449433825,0.23005503058387708,0.2662832150110453
WT,30.0,37,1777324407,-0.0969483681711254,0.2736958346642746,0.26504571109016306
WT,30.0,38,594336917,-0.12741675864919344,0.2555018704777774,0.24324579590838627
WT,30.0,39,1356488967,0.01469107380075041,0.2559934325776668,0.2888099745413506
WT,30.0,40,354826746,0.010167452980939906,0.283036583204133,0.25818360952938413
WT,30.0,41,1627981024,-0.02893538171369059,0.2542542518351838,0.25218267646808695
WT,30.0,42,1504361614,-0.18309821788175418,0.2615330316936431,0.3168732671487271
WT,30.0,43,761338718,-0.05983845597297055,0.2995868495236471,0.24428710015034164
WT,30.0,44,145857092,-0.09139685263569497,0.2874872801927854,0.2556464898601545
WT,30.0,45,2084558133,-0.03720993247882021,0.23293223807403163,0.30564941963722897
WT,30.0,46,957106589,-0.2140677269379041,0.2876245602835372,0.2519970479252544
WT,30.0,47,1917963002,-0.012905889378859836,0.263210831548999,0.2697562110010008
WT,30.0,48,1455819991,-0.08232210715683763,0.25534280407441073,0.22315549124442768
WT,30.0,49,1671565830,-0.2094660359205176,0.2504926422706843,0.20677375732053058
WT,40.0,0,191664963,0.09159148314460985,0.26631861378210003,0.30009955575905073
WT,40.0,1,1662057957,-0.08842147452317262,0.23879696312934323,0.2799010540051085
WT,40.0,2,1405681631,-0.051844999089107446,0.28608093941517243,0.273494369698915
WT,40.0,3,942484272,-0.07519609154390006,0.30140524896940957,0.27511569172697165
WT,40.0,4,929893137,-0.018001113834381854,0.30635626291622675,0.29164120043514724
WT,40.0,5,1843824992,-0.1184073308318454,0.28722792806146613,0.2895315913738101
WT,40.0,6,184566854,-0.00976551290162142,0.2751084283119421,0.2558731373540678
WT,40.0,7,1497586438,0.08640274772280421,0.27157146146840216,0.2768905624881974
WT,40.0,8,432652533,0.0683258242703042,0.2819902935747795,0.29272627491860925
WT,40.0,9,202244314,0.02069218165680775,0.2993378716378092,0.2967234307978891
WT,40.0,10,1130604997,-0.1831787543078982,0.24238972768175487,0.25031132369671144
WT,40.0,11,2095133045,-0.07412947789842628,0.27762785625423386,0.30035336877688085
WT,40.0,12,1580016183,0.03502227645504119,0.28137797986750157,0.2511412272287873
WT,40.0,13,1634535062,-0.032271963911845614,0.2711128415304091,0.27851378609941135
WT,40.0,14,1540770719,-0.12296272720728973,0.254739431051053,0.2496570330660519
WT,40.0,15,1688060240,0.1002206562627661,0.29178397526954364,0.2652223332050248
WT,40.0,16,1102145672,-0.0891968243086434,0.27990087888155285,0.238845384215772
WT,40.0,17,275121930,0.0490575505814026,0.2882133059344484,0.24757557042150047
WT,40.0,18,1803345590,-0.015650501328093203,0.28657206391041734,0.2757051418085976
WT,40.0,19,967196436,-0.0077892054355785945,0.26969135292789354,0.2548540681244072
WT,40.0,20,1074497555,-0.054650695124557114,0.28305618594401616,0.2861633716140044
WT,40.0,21,796282693,0.034497013278500965,0.2942934465771388,0.2853810347747105
WT,40.0,22,392022359,-0.0015437635918651438,0.2503966268938257,0.2755394568049677
WT,40.0,23,1990212658,-0.0276457225045883,0.26365332229444255,0.2999407925219498
WT,40.0,24,1678403330,0.0026877143966643757,0.2819994289334609,0.27839537077249
WT,40.0,25,1382689815,0.08611424308152982,0.2996309795889796,0.34701829183899124
WT,40.0,26,864178266,0.01467676400652751,0.24271523988017768,0.24473573210636743
WT,40.0,27,1766867109,0.13585961226163557,0.3021363199781875,0.2832184649582351
WT,40.0,29,952224740,-0.05541957416302523,0.2846868197878826,0.3011798115025676
WT,40.0,28,1171300112,-0.049857032822737235,0.25366484615973994,0.2725354046713948
WT,40.0,30,967354524,-0.003342611872451773,0.27148150216128225,0.2386338493856261
WT,40.0,31,487991438,0.04598868932591138,0.30528249424064274,0.2998795862935863
WT,40.0,32,197860368,0.1333517015545871,0.30456008165201287,0.2744982395177259
WT,40.0,33,1190961760,0.14459660916718597,0.26112351866774297,0.2446604106530903
WT,40.0,34,1906728918,0.2323943459370721,0.2594654829178585,0.2641806020103034
WT,40.0,35,137046513,0.044128617304967754,0.2848762036912776,0.30710179208548777
WT,40.0,37,1777324407,-0.09427977001887866,0.2736958346642746,0.24846750244874777
WT,40.0,36,1843166518,-0.024039978502383264,0.23005503058387708,0.25865535021517994
WT,40.0,38,594336917,-0.0856857788645704,0.2555018704777774,0.25450137085499674
WT,40.0,39,1356488967,0.09421704019836286,0.2559934325776668,0.29346367285408365
WT,40.0,40,354826746,0.05037046351442509,0.283036583204133,0.2785503010931282
WT,40.0,41,1627981024,0.008241719903148592,0.2542542518351838,0.24291815269209013
WT,40.0,42,1504361614,-0.14011435066714295,0.2615330316936431,0.3131951669871501
WT,40.0,43,761338718,0.03927617434255781,0.2995868495236471,0.2831983543487681
WT,40.0,44,145857092,0.02477687040699994,0.2874872801927854,0.2730993894956914
WT,40.0,45,2084558133,0.09522592204909941,0.23293223807403163,0.2856551796456424
WT,40.0,46,957106589,-0.14621883647028788,0.2876245602835372,0.26141969212720784
WT,40.0,47,1917963002,0.07107818277267075,0.263210831548999,0.2776234977489623
WT,40.0,48,1455819991,-0.018390584993807746,0.25534280407441073,0.24213005121589043
WT,40.0,49,1671565830,-0.13226941276793447,0.2504926422706843,0.21403366944960844
WT,50.0,0,191664963,0.1578740640570584,0.26631861378210003,0.31069293024438016
WT,50.0,1,1662057957,0.012315835751022242,0.23879696312934323,0.2924167863905322
WT,50.0,2,1405681631,0.02377071904830519,0.28608093941517243,0.2710206477929981
WT,50.0,3,942484272,-0.023099620572829327,0.30140524896940957,0.27581284586579496
WT,50.0,4,929893137,0.038112271067080705,0.30635626291622675,0.3040710604909783
WT,50.0,5,1843824992,-0.03719612211121781,0.28722792806146613,0.30599018800249733
WT,50.0,6,184566854,0.03911361736965757,0.2751084283119421,0.2726576806656465
WT,50.0,7,1497586438,0.1616395020298942,0.27157146146840216,0.27987122701796135
WT,50.0,8,432652533,0.1391050976990713,0.2819902935747795,0.2808038528894295
WT,50.0,9,202244314,0.06499519406507481,0.2993378716378092,0.28027568342166626
WT,50.0,10,1130604997,-0.0622746483934038,0.24238972768175487,0.2882820827110654
WT,50.0,11,2095133045,-0.03443787306928536,0.27762785625423386,0.2874732606223459
WT,50.0,12,1580016183,0.09933002222152165,0.28137797986750157,0.2628795752605294
WT,50.0,13,1634535062,-0.012575681627546853,0.2711128415304091,0.2858728061202262
WT,50.0,14,1540770719,-0.027782534235793577,0.254739431051053,0.2763861572710315
WT,50.0,15,1688060240,0.14558932204004815,0.29178397526954364,0.24331191160317528
